index, feature_type
31, fcc_bulk
32, fcc_bulk
33, fcc_bulk
34, fcc_bulk
36, fcc_bulk
37, fcc_bulk
38, fcc_bulk
39, fcc_bulk
41, fcc_bulk
42, fcc_bulk
43, fcc_bulk
45, fcc_bulk
46, fcc_bulk
48, fcc_bulk
50, fcc_bulk
53, bcc_bulk
54, bcc_bulk
55, bcc_bulk
56, bcc_bulk
58, bcc_bulk
59, bcc_bulk
60, bcc_bulk
61, bcc_bulk
62, bcc_bulk
64, bcc_bulk
65, bcc_bulk
66, bcc_bulk
67, bcc_bulk
68, bcc_bulk
69, bcc_bulk
70, bcc_bulk
72, bcc_bulk
73, bcc_bulk
74, bcc_bulk
75, bcc_bulk
76, bcc_bulk
77, bcc_bulk
78, bcc_bulk
80, bcc_bulk
82, bcc_bulk
84, bcc_bulk
85, bcc_bulk
86, bcc_bulk
87, bcc_bulk
88, bcc_bulk
89, bcc_bulk
90, bcc_bulk
91, bcc_bulk
92, bcc_bulk
93, bc8_bulk
94, bc8_bulk
95, bc8_bulk
96, bc8_bulk
97, bc8_bulk
99, bc8_bulk
100, bc8_bulk
102, bc8_bulk
103, bc8_bulk
104, bc8_bulk
105, bc8_bulk
106, bc8_bulk
108, bc8_bulk
109, bc8_bulk
113, bc8_bulk
115, bc8_bulk
117, bc8_bulk
118, bc8_bulk
120, bc8_bulk
121, bc8_bulk
122, bc8_bulk
123, bc8_bulk
124, bc8_bulk
126, bc8_bulk
127, bc8_bulk
128, bc8_bulk
129, bc8_bulk
130, bc8_bulk
131, bc8_bulk
132, bc8_bulk
133, hcp_bulk
134, hcp_bulk
137, hcp_bulk
138, hcp_bulk
139, hcp_bulk
141, hcp_bulk
143, hcp_bulk
144, hcp_bulk
145, hcp_bulk
146, hcp_bulk
147, hcp_bulk
149, hcp_bulk
151, hcp_bulk
152, hcp_bulk
164, hd
178, st12
206, betaTin
224, distorted_bulk
271, phonon-thermal
315, split
328, tet
371, vac1_222_v2
409, bond
420, hex
429, liquid_1200K
434, liquid_1700K
444, liquid_2200K
446, liquid_3000K
